
2018-11-21 14:45:09,161 proc_top starting

2018-11-21 14:45:19,161
   pid name                  utime  stime  pct
2018-11-21 14:49:39,161
   pid name                  utime  stime  pct
   905 (telem_down)             18     87  11%
   918 (python)                 85      4   9%
   921 (python)                 48     12   6%
    64 (kworker/0:2)             0     53   5%
   919 (python)                 37      8   5%
   914 (vidsrc:src)             16     10   3%
   890 (dataflash_logge)         3      9   1%
    24 (ipu1_task)               0      9   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               1      4   1%
   906 (telem_up)                1      4   1%
   920 (python)                  3      2   1%

2018-11-21 14:49:49,161
   pid name                  utime  stime  pct
   905 (telem_down)              9     94  10%
   918 (python)                 85      5   9%
   921 (python)                 43     19   6%
    64 (kworker/0:2)             0     52   5%
   919 (python)                 35     10   5%
   901 (python)                 28      0   3%
   914 (vidsrc:src)             13     13   3%
   890 (dataflash_logge)         3     11   1%
   903 (pixrc_udp)               0     13   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  6      0   1%
    71 (mmcqd/0)                 0      5   1%

2018-11-21 14:49:59,161
   pid name                  utime  stime  pct
   905 (telem_down)              9     93  10%
   918 (python)                 86      4   9%
   921 (python)                 51     10   6%
   919 (python)                 37      8   5%
    64 (kworker/0:2)             0     32   3%
   914 (vidsrc:src)             22      4   3%
   890 (dataflash_logge)         3      9   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               0      8   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                0      5   1%
   920 (python)                  5      0   1%

2018-11-21 14:50:09,161
   pid name                  utime  stime  pct
   905 (telem_down)             12     89  10%
   918 (python)                 86      4   9%
   921 (python)                 54      7   6%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 40      5   5%
   901 (python)                 30      0   3%
   914 (vidsrc:src)             20      6   3%
   890 (dataflash_logge)         4      9   1%
    24 (ipu1_task)               0      8   1%
   903 (pixrc_udp)               0      8   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%
   920 (python)                  5      0   1%

2018-11-21 14:50:19,161
   pid name                  utime  stime  pct
   905 (telem_down)             10     92  10%
   918 (python)                 84      5   9%
   921 (python)                 43     18   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 37      7   4%
   914 (vidsrc:src)             20      6   3%
   890 (dataflash_logge)         2     11   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               0      6   1%
   920 (python)                  5      1   1%
   906 (telem_up)                1      4   1%

2018-11-21 14:50:29,161
   pid name                  utime  stime  pct
   905 (telem_down)             20     82  10%
   918 (python)                 86      3   9%
   921 (python)                 46     15   6%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 37      8   5%
   914 (vidsrc:src)             22      5   3%
   890 (dataflash_logge)         4      9   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%

2018-11-21 14:50:39,161
   pid name                  utime  stime  pct
   905 (telem_down)             15     87  10%
   918 (python)                 84      7   9%
   921 (python)                 57      4   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 37      8   5%
   901 (python)                 41      0   4%
   914 (vidsrc:src)             18      8   3%
   890 (dataflash_logge)         4      9   1%
   903 (pixrc_udp)               2      7   1%
    24 (ipu1_task)               0      8   1%
    71 (mmcqd/0)                 0      6   1%
   906 (telem_up)                0      5   1%
   920 (python)                  4      1   1%

2018-11-21 14:50:49,162
   pid name                  utime  stime  pct
   905 (telem_down)             12     90  10%
   918 (python)                 86      4   9%
   921 (python)                 49     12   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 32     13   5%
   914 (vidsrc:src)             16     10   3%
   890 (dataflash_logge)         6      7   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               2      7   1%
   920 (python)                  5      1   1%
   908 (pixrc_ser)               0      5   1%

2018-11-21 14:50:59,161
   pid name                  utime  stime  pct
   905 (telem_down)             16     85  10%
   918 (python)                 85      4   9%
   921 (python)                 52      9   6%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 41      3   4%
   914 (vidsrc:src)             20      6   3%
   890 (dataflash_logge)         2     11   1%
   903 (pixrc_udp)               1      8   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%
   906 (telem_up)                1      4   1%

2018-11-21 14:51:09,161
   pid name                  utime  stime  pct
   905 (telem_down)             20     83  10%
   918 (python)                 88      4   9%
   921 (python)                 48     13   6%
  1056 (kworker/0:0)             0     53   5%
   919 (python)                 31     14   5%
   901 (python)                 38      0   4%
   914 (vidsrc:src)             15     11   3%
   890 (dataflash_logge)         5      8   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               2      6   1%
    71 (mmcqd/0)                 0      7   1%
   908 (pixrc_ser)               0      5   1%
   920 (python)                  5      0   1%

2018-11-21 14:51:19,161
   pid name                  utime  stime  pct
   905 (telem_down)             17     84  10%
   918 (python)                 82      8   9%
   921 (python)                 53      8   6%
  1056 (kworker/0:0)             0     50   5%
   919 (python)                 37      8   5%
   914 (vidsrc:src)             19      7   3%
   890 (dataflash_logge)         2     10   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      8   1%
    71 (mmcqd/0)                 0      5   1%
   906 (telem_up)                0      5   1%
   920 (python)                  4      1   1%
  1055 (kworker/u2:0)            0      5   1%

2018-11-22 08:44:08,142
   pid name                  utime  stime  pct
   905 (telem_down)             18     84  10%
